Tm,FG%,3P%,FTA,FT%,PPS,AFG%
29,Atlanta,.473,.375,28.0,.750,1.32,.542
5,Boston,.445,.335,24.3,.752,1.23,.507
21,Brooklyn,.471,.357,24.0,.767,1.26,.525
18,Charlotte,.462,.344,21.6,.771,1.24,.527
12,Chicago,.456,.352,21.2,.785,1.23,.521
19,Cleveland,.487,.362,20.2,.754,1.28,.551
14,Dallas,.461,.342,21.5,.773,1.23,.520
2,Denver,.454,.327,22.0,.747,1.22,.513
13,Detroit,.468,.317,25.4,.781,1.27,.520
16,Golden State,.450,.338,24.6,.749,1.23,.513
10,Houston,.471,.340,25.0,.756,1.28,.528
0,Indiana,.435,.352,20.0,.761,1.18,.501
23,LA Clippers,.455,.346,26.4,.773,1.24,.509
17,LA Lakers,.448,.349,21.0,.799,1.19,.505
1,Memphis,.444,.362,24.3,.774,1.26,.513
4,Miami,.437,.359,24.9,.762,1.22,.502
9,Milwaukee,.431,.359,20.7,.739,1.16,.500
20,Minnesota,.460,.377,21.6,.768,1.24,.530
25,New Orleans,.466,.362,24.7,.749,1.27,.532
26,New York,.479,.367,24.1,.757,1.29,.545
3,Oklahoma City,.449,.336,23.0,.745,1.21,.507
7,Orlando,.458,.373,21.9,.777,1.24,.520
22,Philadelphia,.448,.340,25.4,.779,1.22,.503
24,Phoenix,.483,.357,26.7,.760,1.32,.543
15,Portland,.455,.370,22.1,.735,1.21,.517
27,Sacramento,.473,.343,25.0,.761,1.28,.536
11,San Antonio,.463,.359,20.1,.757,1.22,.527
8,Toronto,.450,.339,21.6,.764,1.19,.505
6,Utah,.463,.360,22.7,.738,1.24,.520
28,Washington,.473,.369,24.8,.789,1.30,.540
